cust_id,full_name,gender,age,income_annual_inr,income_segment,credit_score,risk_bucket,region,zone,urban_rural_flag,num_products,cbs_total_clr_bal_amt,aa_avg_monthly_inflows,aa_avg_monthly_outflows,ml_unified_customer_proba,cltv_profit_actual,cltv_profit_ml,cltv_profit_final,cltv_decile_final,hybrid_score_0_100_final
C00435,Shaurya Gupta,M,32,165860.77,LOW,490,HIGH,CENTRAL,CENTRAL,URBAN,2,4805.610000000001,6487.735833333333,17819.511666666665,0.9905524418129192,2797,2830.642148528098,2797.0,1,100.0
C00212,Ishaan Kulkarni,M,21,1000000.0,MID,711,LOW,NORTH,NORTH,RURAL_SEMIURBAN,3,8503.68,1125.5933333333337,23199.609166666665,0.9761219633547727,8492,8345.411538994626,8492.0,1,99.0
C00150,Isha Iyer,F,45,184912.69,LOW,600,MEDIUM,WEST,WEST,RURAL_SEMIURBAN,2,6677.25,6570.572499999999,20689.98083333333,0.975062785486282,3094,3046.981051764155,3094.0,1,99.0
C00181,Neha Gupta,F,47,242841.84,MID,714,LOW,EAST,EAST,URBAN,2,3275.57,6308.138333333333,17116.210833333334,0.9742315725293548,3553,3580.2572521187262,3553.0,1,99.0
C00279,Kunal Patel,M,39,179937.74,LOW,600,MEDIUM,SOUTH,SOUTH,URBAN,2,1874.3500000000001,4086.235,18879.913333333338,0.9734125079214916,4478,4423.744058058305,4478.0,1,99.0
C00050,Harsh Kulkarni,M,32,414322.74,MID,842,LOW,SOUTH,SOUTH,URBAN,2,5738.6,0.0,14361.964999999998,0.9841253440478558,4205,4108.925510278966,4205.0,1,99.0
C00183,Ananya Naidu,F,53,200000.0,LOW,577,HIGH,EAST,EAST,RURAL_SEMIURBAN,2,3884.46,1393.8108333333332,11313.3125,0.9683187459717896,2860,2792.046709691003,2860.0,1,98.0
C00019,Saanvi Khan,F,21,634527.67,MID,751,LOW,NORTH,NORTH,RURAL_SEMIURBAN,3,20718.16,0.0,19253.025833333333,0.9634533195339462,5457,5534.463377718253,5457.0,1,98.0
C00421,Tanvi Jain,F,69,106593.82,LOW,502,HIGH,CENTRAL,CENTRAL,RURAL_SEMIURBAN,2,1438.42,5003.954166666666,20904.2125,0.9565866652992872,3841,3908.001283643245,3841.0,1,98.0
C00184,Aditya Gupta,M,51,860882.17,MID,611,MEDIUM,NORTH,NORTH,URBAN,3,15469.41,4550.224999999999,32326.430833333332,0.9528849554882586,7607,7614.418320180432,7607.0,1,98.0
C00011,Arjun Gupta,M,37,155290.67,LOW,745,LOW,SOUTH,SOUTH,URBAN,2,4388.5599999999995,0.0,13590.266666666668,0.9566640472596724,4898,4787.94301199418,4898.0,1,98.0
C00219,Isha Yadav,F,18,350275.51,MID,750,LOW,NORTH,NORTH,URBAN,3,19186.149999999998,3621.078333333333,34164.675833333335,0.9542991998019336,4703,4673.424627404027,4703.0,1,98.0
C00048,Pooja Verma,F,36,125860.41,LOW,610,MEDIUM,CENTRAL,CENTRAL,RURAL_SEMIURBAN,2,673.89,11952.621666666666,29739.051666666663,0.9660594512455762,4576,4569.205364973245,4576.0,1,98.0
C00234,Rahul Khan,M,70,497806.97,MID,748,LOW,NORTH,NORTH,URBAN,2,210.75,3356.8583333333336,5025.7716666666665,0.942513310122705,2650,2604.785552571452,2650.0,1,97.0
C00291,Meera Das,F,70,2038597.27,HIGH,792,LOW,NORTH,NORTH,URBAN,3,2221.69,4905.301666666667,42139.526666666665,0.948373047552764,4607,4653.688972139604,4607.0,1,97.0
C00380,Anika Patel,F,51,144284.59,LOW,576,HIGH,CENTRAL,CENTRAL,URBAN,3,11065.060000000001,12646.4925,40472.556666666664,0.9309221107491292,3913,3889.147986273355,3913.0,1,97.0
C00159,Ayesha Sharma,F,35,459889.4,MID,787,LOW,WEST,WEST,URBAN,2,275.07,5431.255833333334,30997.546666666665,0.9211496048849236,3020,2974.924140585497,3020.0,1,96.0
C00088,Abhishek Mishra,M,24,699615.55,MID,765,LOW,NORTH,NORTH,URBAN,3,21399.940000000002,7510.889166666667,32212.369166666667,0.917286548547858,5483,5493.058255392141,5483.0,1,96.0
C00465,Atharv Kulkarni,M,50,767632.66,MID,660,MEDIUM,CENTRAL,CENTRAL,URBAN,3,15015.39,7676.1475,31547.568333333333,0.8996846944792644,5645,5632.80501292013,5645.0,1,95.0
C00430,Aarohi Patel,F,34,1000000.0,MID,708,LOW,NORTH,NORTH,URBAN,3,1411.44,3634.256666666666,38243.27583333333,0.8965470816501598,4255,4317.562215928291,4255.0,1,95.0
C00442,Aarohi Mishra,F,32,155271.7,LOW,786,LOW,WEST,WEST,URBAN,2,4510.17,1543.6333333333334,18908.695833333335,0.8953214547538849,2746,2818.1950587665337,2746.0,1,95.0
C00393,Neha Reddy,F,69,127818.97,LOW,562,HIGH,NORTH,NORTH,URBAN,3,3100.98,5300.690833333333,11381.2125,0.9758333586875926,,1731.960987010811,1731.960987010811,2,94.0
C00478,Arjun Naidu,M,74,200000.0,LOW,640,MEDIUM,CENTRAL,CENTRAL,RURAL_SEMIURBAN,2,17229.670000000002,729.8758333333334,16457.754166666666,0.979848624202276,1775,1798.2813160426772,1775.0,2,94.0
C00021,Yash Verma,M,68,169534.76,LOW,654,MEDIUM,EAST,EAST,RURAL_SEMIURBAN,2,3632.69,1366.6883333333335,17168.936666666665,0.8754991925741592,3346,3277.287694452319,3346.0,1,94.0
C00026,Sara Shah,F,60,95061.71,LOW,773,LOW,EAST,EAST,RURAL_SEMIURBAN,3,10549.81,7628.336666666666,38218.56333333333,0.9594537579556364,2107,2179.2342169292306,2107.0,2,93.0
C00401,Vihaan Bansal,M,57,189691.59,LOW,677,MEDIUM,NORTH,NORTH,URBAN,2,2660.7799999999997,9821.106666666668,18438.135833333337,0.8612040868160108,3117,3130.9290869530428,3117.0,1,93.0
C00069,Aditya Shah,M,41,165295.61,LOW,629,MEDIUM,NORTH,NORTH,URBAN,2,8071.06,5072.038333333333,16363.456666666669,0.9649103813369286,1777,1782.3150494309389,1777.0,2,93.0
C00434,Prachi Yadav,F,47,189618.37,LOW,722,LOW,NORTH,NORTH,RURAL_SEMIURBAN,3,1773.24,8556.924166666666,48858.519166666665,0.8678253173066396,3487,3451.060703336201,3487.0,1,93.0
C00215,Arjun Sharma,M,26,144014.92,LOW,721,LOW,NORTH,NORTH,URBAN,2,461.06,0.0,25074.516666666663,0.8508079171121614,2923,2956.399848083921,2923.0,1,93.0
C00018,Nisha Iyer,F,36,127111.7,LOW,635,MEDIUM,NORTH,NORTH,URBAN,2,3540.0,3338.8366666666666,19738.2725,0.9568915215853644,1903,1971.3521137827731,1903.0,2,93.0
C00012,Sara Verma,F,27,110879.75,LOW,558,HIGH,NORTH,NORTH,URBAN,2,2236.54,7130.673333333333,20771.619166666667,0.952403996691348,2201,2207.0017034082252,2201.0,2,93.0
C00388,Ritvik Chatterjee,M,57,77392.73,LOW,554,HIGH,EAST,EAST,URBAN,2,6847.59,6130.858333333334,24789.19083333333,0.9636840371686308,1994,1982.8838531218626,1994.0,2,93.0
C00117,Krishna Patel,M,51,162260.51,LOW,497,HIGH,SOUTH,SOUTH,URBAN,2,19530.36,2792.465833333333,13290.490833333331,0.9524269582533555,1987,1991.7194979044941,1987.0,2,93.0
C00287,Aarav Reddy,M,44,200000.0,LOW,507,HIGH,NORTH,NORTH,URBAN,2,13459.66,0.0,16398.608333333334,0.8483302459429533,2802,2800.6859147852138,2802.0,1,92.0
C00440,Shivani Sharma,F,47,108455.37,LOW,543,HIGH,NORTH,NORTH,URBAN,2,3303.07,2206.1066666666666,20794.32,0.9392285791205016,1712,1700.3703668104913,1712.0,2,92.0
C00228,Harsh Gupta,M,67,2418807.3,HIGH,807,LOW,EAST,EAST,URBAN,2,540.07,5109.756666666666,26142.721666666665,0.936206997493196,1852,1900.4905077050362,1852.0,2,92.0
C00035,Siddharth Bansal,M,51,1927108.69,HIGH,784,LOW,SOUTH,SOUTH,URBAN,2,17847.43,10980.090833333334,21254.044166666667,0.9426836483996434,2260,2278.8668282563226,2260.0,2,92.0
C00428,Vihaan Patel,M,31,200000.0,LOW,564,HIGH,NORTH,NORTH,URBAN,2,15813.33,0.0,12506.220833333333,0.9311869001124968,1935,1880.2317897054972,1935.0,2,92.0
C00459,Tanvi Singh,F,75,133662.88,LOW,650,MEDIUM,SOUTH,SOUTH,URBAN,2,7979.02,4218.994166666666,14634.845,0.9328161874651186,2080,1948.314382347124,2080.0,2,92.0
C00433,Arjun Gowda,M,69,200000.0,LOW,696,MEDIUM,EAST,EAST,RURAL_SEMIURBAN,2,5747.97,8215.101666666667,21589.6625,0.9178647556418358,2379,2394.4379985075907,2379.0,2,91.0
C00308,Vivaan Das,M,37,487823.81,MID,665,MEDIUM,NORTH,NORTH,RURAL_SEMIURBAN,2,9214.47,5642.250833333333,19072.088333333333,0.9280473527286088,2236,2241.777009006387,2236.0,2,91.0
C00235,Tanvi Shah,F,21,75676.66,LOW,627,MEDIUM,WEST,WEST,URBAN,2,2869.0,5193.795,34637.875,0.8276575924870916,3257,3264.3444018816763,3257.0,1,91.0
C00216,Kabir Sharma,M,69,74418.98,LOW,456,HIGH,SOUTH,SOUTH,URBAN,2,13937.52,2265.561666666667,13637.329166666668,0.8965321900696245,1984,2016.7295851701242,1984.0,2,90.0
C00192,Nandini Naidu,F,66,174896.36,LOW,628,MEDIUM,EAST,EAST,URBAN,2,4165.44,2776.7025,17889.140833333335,0.9967449883999144,1087,1112.8964567088374,1087.0,3,90.0
C00096,Krishna Verma,M,66,133092.66,LOW,605,MEDIUM,CENTRAL,CENTRAL,URBAN,3,13280.429999999998,9789.916666666666,10020.099166666669,0.9714870122604534,900,887.281062909414,900.0,3,89.0
C00276,Meera Mishra,F,25,140564.56,LOW,728,LOW,SOUTH,SOUTH,URBAN,3,20857.19,460.5291666666667,30204.89,0.7700112477816872,3036,3019.0284451270863,3036.0,1,89.0
C00086,Abhishek Yadav,M,45,143430.05,LOW,671,MEDIUM,SOUTH,SOUTH,URBAN,2,6412.38,0.0,24872.05,0.7716565010773601,2789,2730.930685327665,2789.0,1,89.0
C00489,Neha Gowda,F,51,200000.0,LOW,643,MEDIUM,NORTH,NORTH,URBAN,2,694.37,3785.505000000001,13384.6275,0.873489343860207,1927,1990.7069093150258,1927.0,2,89.0
C00242,Abhishek Patel,M,62,125149.7,LOW,665,MEDIUM,NORTH,NORTH,RURAL_SEMIURBAN,3,16018.589999999998,7761.828333333334,32052.81,0.8785729392957293,2027,2090.4476338106697,2027.0,2,89.0
C00078,Anika Ghosh,F,40,96152.12,LOW,627,MEDIUM,SOUTH,SOUTH,URBAN,3,6807.87,9548.34,37969.300833333335,0.877980118528737,2026,2138.427280084993,2026.0,2,89.0
C00342,Ishita Iyer,F,26,281444.66,MID,802,LOW,NORTH,NORTH,URBAN,2,12888.49,9687.775,23224.403333333335,0.8713657160102103,1750,1678.618509949829,1750.0,2,89.0
C00443,Abhishek Iyer,M,30,167610.35,LOW,688,MEDIUM,NORTH,NORTH,URBAN,2,11821.29,0.0,10413.263333333334,0.8533635192527463,1732,1758.6899307152066,1732.0,2,88.0
C00326,Aadhya Khan,F,40,95466.71,LOW,697,MEDIUM,WEST,WEST,URBAN,3,10701.060000000001,6853.255,30075.600833333338,0.8605828652345086,2386,2407.008161741181,2386.0,2,88.0
C00013,Anika Reddy,F,69,166613.95,LOW,503,HIGH,SOUTH,SOUTH,URBAN,3,16897.82,2353.4216666666666,24267.176666666663,0.858695060635152,1514,1532.5133898748911,1514.0,2,88.0
C00255,Kabir Chatterjee,M,70,114200.52,LOW,745,LOW,NORTH,NORTH,URBAN,2,11839.97,7376.288333333334,43427.74333333333,0.7623874893727061,5903,5805.088552173846,5903.0,1,88.0
C00474,Riya Reddy,F,74,115486.73,LOW,760,LOW,NORTH,NORTH,URBAN,2,4564.63,2757.7549999999997,20379.895833333332,0.9619747330518752,1362,1431.5339884947343,1362.0,3,88.0
C00057,Ayesha Naidu,F,45,609627.9,MID,734,LOW,WEST,WEST,URBAN,1,128.05,12481.991666666669,11198.413333333332,0.8453633190407724,2126,1982.5463830066526,2126.0,2,87.0
C00271,Rohit Yadav,M,21,167634.9,LOW,526,HIGH,SOUTH,SOUTH,URBAN,1,214.05,0.0,3427.6341666666667,0.8395614873301982,1486,1341.7472843573123,1486.0,2,87.0
C00350,Aarohi Nair,F,59,164534.33,LOW,610,MEDIUM,NORTH,NORTH,URBAN,2,4875.71,3711.043333333333,24863.28916666667,0.93888032383825,1387,1367.1066545619253,1387.0,3,87.0
C00240,Ishaan Nair,M,32,156031.05,LOW,649,MEDIUM,SOUTH,SOUTH,URBAN,2,490.77,0.0,21295.481666666667,0.9396834710652564,1359,1491.5007338661794,1359.0,3,87.0
C00028,Aarav Patel,M,59,137271.94,LOW,682,MEDIUM,SOUTH,SOUTH,URBAN,3,11288.759999999998,8190.078333333334,38843.6825,0.7100953162326558,5346,5254.4938058558755,5346.0,1,86.0
C00406,Ritvik Nair,M,44,200000.0,LOW,673,MEDIUM,EAST,EAST,URBAN,2,1246.7,3928.3508333333334,26537.218333333338,0.8217116359317377,1677,1681.160939623785,1677.0,2,86.0
C00282,Aadhya Gupta,F,25,1000000.0,MID,765,LOW,NORTH,NORTH,URBAN,2,3744.16,7222.6025,22039.176666666663,0.9117928001673838,907,952.7172597627942,907.0,3,86.0
C00253,Yash Mishra,M,48,200000.0,LOW,691,MEDIUM,WEST,WEST,URBAN,2,626.76,4262.45,34314.174999999996,0.7199696777733823,2753,2778.93689112234,2753.0,1,86.0
C00481,Diya Iyer,F,41,592265.88,MID,713,LOW,EAST,EAST,RURAL_SEMIURBAN,2,577.08,2395.215833333333,12674.109166666669,0.9182269748626244,1352,1330.217729811355,1352.0,3,86.0
C00487,Shaurya Chatterjee,M,57,1660605.34,HIGH,804,LOW,SOUTH,SOUTH,URBAN,2,4669.13,0.0,14223.898333333333,0.7090654217840804,2569,2714.752508263586,2569.0,1,85.0
C00304,Saanvi Nair,F,29,151863.88,LOW,620,MEDIUM,SOUTH,SOUTH,URBAN,2,3419.87,3287.8291666666664,22033.147500000003,0.9045470850905378,1164,1167.3023371302002,1164.0,3,85.0
C00222,Siddharth Singh,M,38,200000.0,LOW,661,MEDIUM,NORTH,NORTH,RURAL_SEMIURBAN,1,164.36,2514.5783333333334,5686.583333333333,0.7936779144573248,1897,1846.2273144730407,1897.0,2,85.0
C00020,Neha Yadav,F,42,100838.15,LOW,576,HIGH,NORTH,NORTH,URBAN,3,18392.46,0.0,38414.191666666666,0.6859709409736726,7807,7602.0253739401105,7807.0,1,84.0
C00281,Aarohi Singh,F,70,122914.82,LOW,633,MEDIUM,SOUTH,SOUTH,URBAN,2,5400.88,4598.491666666667,25719.69583333333,0.7765516741538616,1498,1577.223275880783,1498.0,2,84.0
C00198,Meera Sharma,F,33,85822.18,LOW,674,MEDIUM,EAST,EAST,RURAL_SEMIURBAN,2,483.24,16278.9175,45053.39083333333,0.7836610652562137,1806,1888.151509102854,1806.0,2,84.0
C00200,Shaurya Iyer,M,53,737808.28,MID,792,LOW,NORTH,NORTH,RURAL_SEMIURBAN,2,341.34000000000003,3120.9275,24209.594166666662,0.8774145564245381,987,1080.0546761327732,987.0,3,84.0
C00353,Nandini Gupta,F,70,808982.41,MID,714,LOW,SOUTH,SOUTH,URBAN,3,12351.54,7158.735833333333,25417.005,0.8658403604676178,967,1129.2370291609973,967.0,3,83.0
C00336,Siddharth Gowda,M,40,196477.68,LOW,603,MEDIUM,NORTH,NORTH,URBAN,2,19276.99,6967.9075,26730.522500000003,0.851976890668132,823,840.0888340163629,823.0,3,83.0
C00494,Harsh Iyer,M,44,124991.6,LOW,707,LOW,NORTH,NORTH,URBAN,2,6686.77,0.0,2174.6733333333336,0.9501653684755051,,601.5855852031002,601.5855852031002,4,83.0
C00138,Aadhya Iyer,F,40,147567.25,LOW,651,MEDIUM,CENTRAL,CENTRAL,URBAN,3,22808.13,11074.55,37888.996666666666,0.7547871927383984,2330,2340.8299563106034,2330.0,2,83.0
C00030,Riya Naidu,F,22,114369.01,LOW,599,HIGH,NORTH,NORTH,RURAL_SEMIURBAN,2,8254.43,8560.5675,25562.8025,0.8482831511156814,1231,1303.453046460643,1231.0,3,82.0
C00368,Sara Nair,F,73,589879.05,MID,658,MEDIUM,NORTH,NORTH,URBAN,2,186.85000000000002,7410.5575,4615.6525,0.8384659375341557,866,869.5939049671499,866.0,3,82.0
C00068,Ritvik Kulkarni,M,47,510932.64,MID,621,MEDIUM,WEST,WEST,URBAN,3,824.6299999999999,3176.9725,36268.943333333336,0.6295277933152834,3255,3202.407549533004,3255.0,1,81.0
C00010,Kunal Shah,M,41,130612.61,LOW,595,HIGH,NORTH,NORTH,URBAN,3,19601.63,4023.06,8948.048333333334,0.918673625735408,620,660.1085649503339,620.0,4,81.0
C00441,Vivaan Khan,M,44,191706.19,LOW,638,MEDIUM,WEST,WEST,URBAN,2,16616.109999999997,6662.294166666667,26357.344166666662,0.8228613533859839,1449,1495.9790000906733,1449.0,3,81.0
C00098,Atharv Gupta,M,64,80771.71,LOW,622,MEDIUM,EAST,EAST,RURAL_SEMIURBAN,2,14505.710000000001,7851.433333333333,20492.9775,0.8166542360807499,1383,1371.414482912196,1383.0,3,81.0
C00407,Abhishek Sharma,M,57,483620.3,MID,718,LOW,SOUTH,SOUTH,URBAN,1,114.67,10476.4525,3714.005833333333,0.9260918655755448,,647.9936907430045,647.9936907430045,4,81.0
C00182,Yash Chatterjee,M,42,3330354.63,HIGH,739,LOW,NORTH,NORTH,RURAL_SEMIURBAN,2,380.77,12659.421666666669,35351.22083333333,0.9127725740289973,702,708.4019361659784,702.0,4,81.0
C00335,Shivani Mishra,F,19,361577.19,MID,689,MEDIUM,WEST,WEST,URBAN,2,20026.82,9052.754166666668,44319.60666666667,0.6074839455258839,3876,3571.887787002849,3876.0,1,80.0
C00114,Tanvi Bansal,F,40,675765.84,MID,665,MEDIUM,EAST,EAST,RURAL_SEMIURBAN,2,6742.4400000000005,4192.5841666666665,17940.212499999998,0.7095631162869025,1677,1634.0066898420896,1677.0,2,80.0
C00473,Siddharth Kulkarni,M,19,442250.81,MID,710,LOW,EAST,EAST,RURAL_SEMIURBAN,1,161.64,3515.4816666666666,12490.964166666668,0.9050934540606198,587,643.1912801190413,587.0,4,80.0
C00157,Riya Sharma,F,53,114135.08,LOW,797,LOW,NORTH,NORTH,RURAL_SEMIURBAN,3,16792.09,6495.451666666667,30996.9525,0.7813495569698024,945,967.9697115309201,945.0,3,79.0
C00128,Ayesha Verma,F,73,514757.25,MID,811,LOW,SOUTH,SOUTH,URBAN,2,14331.34,0.0,11794.186666666666,0.5712899528039332,3778,3760.077152247991,3778.0,1,79.0
C00967,Atharv Das,M,28,1799097.57492139,HIGH,878,LOW,NORTH,NORTH,URBAN,2,5573.395438271676,,,0.878163926414479,,614.3428187227502,614.3428187227502,4,79.0
C00115,Aarohi Iyer,F,74,129200.64,LOW,716,LOW,CENTRAL,CENTRAL,RURAL_SEMIURBAN,1,162.87,2901.4233333333336,11370.374166666666,0.6856745362478411,2041,2055.899470671095,2041.0,2,79.0
C00189,Ishita Nair,F,35,134232.74,LOW,577,HIGH,WEST,WEST,URBAN,1,151.85,6731.901666666668,12041.116666666669,0.584178628942846,2748,2728.230593292218,2748.0,1,79.0
C00144,Diya Patel,F,24,93553.06,LOW,658,MEDIUM,CENTRAL,CENTRAL,URBAN,2,17323.26,4125.580833333333,39693.59916666667,0.6541096171500987,2099,2365.4677063869103,2099.0,2,78.0
C00134,Isha Sharma,F,64,152788.52,LOW,678,MEDIUM,NORTH,NORTH,URBAN,2,2042.12,2076.0575,31423.123333333333,0.6513644333513267,1948,1956.5357146114911,1948.0,2,78.0
C00495,Meera Shah,F,25,89435.23,LOW,535,HIGH,WEST,WEST,URBAN,1,119.92,2857.3408333333336,11304.016666666668,0.753163933946294,907,890.4266815508244,907.0,3,78.0
C00179,Ayesha Kulkarni,F,51,349263.85,MID,743,LOW,NORTH,NORTH,RURAL_SEMIURBAN,2,14973.45,2391.5666666666666,15682.819166666668,0.9307179794000529,478,499.17430449561493,478.0,5,77.0
C00066,Abhishek Shah,M,26,154949.59,LOW,611,MEDIUM,SOUTH,SOUTH,URBAN,1,282.4,15145.05,21042.09,0.8937659642627162,528,582.8033728316731,528.0,5,75.0
C00027,Anika Ghosh,F,69,128158.49,LOW,616,MEDIUM,NORTH,NORTH,RURAL_SEMIURBAN,1,62.55,10526.9225,8919.405833333332,0.7878321152758744,646,615.950247343264,646.0,4,74.0
C00248,Aarav Bansal,M,30,283252.2,MID,660,MEDIUM,WEST,WEST,RURAL_SEMIURBAN,3,24203.47,6746.954166666666,41765.4375,0.4651260340321138,6310,6061.995444759909,6310.0,1,73.0
C00140,Ishita Sharma,F,43,200000.0,LOW,708,LOW,WEST,WEST,URBAN,1,234.74,5358.2675,14627.266666666668,0.6529022638587458,1179,1162.6302724175762,1179.0,3,73.0
C00987,Aarav Khan,M,36,499506.66738557647,MID,697,MEDIUM,EAST,EAST,URBAN,2,16812.853715811114,,,0.7540199530988484,,766.3792544986686,766.3792544986686,4,73.0
C00002,Vihaan Yadav,M,43,156284.35,LOW,565,HIGH,SOUTH,SOUTH,URBAN,2,1603.02,7935.544166666667,36042.494166666664,0.5598868261210134,2319,2361.506304779839,2319.0,2,73.0
C00470,Sara Khan,F,27,167855.59,LOW,632,MEDIUM,EAST,EAST,URBAN,2,325.13,3446.771666666667,28935.89,0.9442216269063344,432,411.61543128056366,432.0,6,72.0
C00367,Aarohi Shah,F,64,2771060.27,HIGH,835,LOW,EAST,EAST,RURAL_SEMIURBAN,2,349.38,2611.8641666666663,1830.0783333333336,0.819280797269347,510,521.980040268684,510.0,5,71.0
C00725,Prachi Patel,F,30,336712.1246563868,MID,797,LOW,EAST,EAST,URBAN,2,2684.980486898064,,,0.7204852861590098,,651.7678930813602,651.7678930813602,4,71.0
C00780,Tanvi Khan,F,38,779946.6433390449,MID,710,LOW,NORTH,NORTH,URBAN,2,17082.003543469174,,,0.7095939562476307,,800.2098977213533,800.2098977213533,4,70.0
C00363,Tanvi Yadav,F,74,743223.99,MID,690,MEDIUM,NORTH,NORTH,URBAN,1,248.29,0.0,4837.109166666666,0.5084369625343087,1891,1797.5307145971103,1891.0,2,70.0
C00456,Prachi Iyer,F,64,200000.0,LOW,559,HIGH,SOUTH,SOUTH,URBAN,1,101.1,4510.604166666667,7179.5025,0.8823355050074171,393,394.95436100622254,393.0,6,69.0
C00267,Nisha Jain,F,23,1000000.0,MID,691,MEDIUM,SOUTH,SOUTH,URBAN,2,229.07,11146.435,28490.0525,0.9509967987934734,328,393.0426429786267,328.0,7,68.0
C00984,Anika Ghosh,F,33,1202332.1413271078,HIGH,691,MEDIUM,CENTRAL,CENTRAL,URBAN,2,3029.2117140123514,,,0.7529072016056041,,438.9161312397763,438.9161312397763,5,68.0
C00439,Ishaan Sharma,M,72,460064.03,MID,748,LOW,WEST,WEST,URBAN,1,150.32,5116.449166666666,7608.226666666667,0.9593245271592136,296,295.7405271171051,296.0,7,68.0
C00296,Ritvik Kulkarni,M,27,174499.9,LOW,656,MEDIUM,NORTH,NORTH,URBAN,1,123.33,7892.454166666666,13868.315833333334,0.3640413164763734,2749,2675.002347452828,2749.0,1,68.0
C00031,Aadhya Iyer,F,66,485997.23,MID,824,LOW,SOUTH,SOUTH,URBAN,1,537.08,0.0,18787.255,0.6357465007434636,799,780.0158552192154,799.0,4,67.0
C00453,Abhishek Yadav,M,34,151322.0,LOW,622,MEDIUM,EAST,EAST,RURAL_SEMIURBAN,1,417.12,492.7408333333333,6252.169166666667,0.93792798646792,259,349.0231201097178,259.0,7,67.0
C00807,Ayesha Sharma,F,33,455751.74792878935,MID,754,LOW,WEST,WEST,URBAN,2,386.7103399262396,,,0.5242901179016255,,842.1574218205772,842.1574218205772,3,66.0
C00301,Pooja Shah,F,49,145620.13,LOW,621,MEDIUM,WEST,WEST,URBAN,1,72.12,5141.100833333333,8487.428333333333,0.9261142688436028,283,237.726182380973,283.0,7,66.0
C00642,Yash Jain,M,31,384158.025294264,MID,687,MEDIUM,EAST,EAST,RURAL_SEMIURBAN,2,9371.901774538937,,,0.7165409510206856,,439.63149017687994,439.63149017687994,5,66.0
C00145,Prachi Singh,F,20,148433.48,LOW,695,MEDIUM,NORTH,NORTH,URBAN,3,16047.82,13140.201666666668,13190.046666666669,0.8125432549267738,407,337.7498584982451,407.0,6,66.0
C00445,Riya Gowda,F,52,966430.41,MID,588,HIGH,SOUTH,SOUTH,URBAN,2,12941.980000000001,5237.2825,6486.565,0.8256720507115652,386,369.33182343159245,386.0,6,66.0
